pmid,title,year,doi,rcr,acr,mesh
28302362,Response to intercostal nerve cryoablation versus thoracic epidural catheters for postoperative analgesia following pectus excavatum repair.,2017,10.1016/j.jpedsurg.2017.01.069,0.4664129530764518,0.75,
29927703,Outcomes Using Cryoablation for Postoperative Pain Control in Children Following Minimally Invasive Pectus Excavatum Repair.,2018,10.1089/lap.2018.0111,2.717180894191203,6.0,"Adolescent; Analgesics; Child; Cohort Studies; Cryosurgery; Female; Funnel Chest; Humans; Intercostal Nerves; Length of Stay; Male; Minimally Invasive Surgical Procedures; Narcotics; Operative Time; Pain, Postoperative; Retrospective Studies"
30935731,Intraoperative intercostal nerve cryoablation During the Nuss procedure reduces length of stay and opioid requirement: A randomized clinical trial.,2019,10.1016/j.jpedsurg.2019.02.057,12.68618252135691,20.666666666666668,"Analgesics, Opioid; Cryosurgery; Funnel Chest; Humans; Intercostal Nerves; Length of Stay; Orthopedic Procedures; Pain, Postoperative"
31699436,Postoperative pain control modalities for pectus excavatum repair: A prospective observational study of cryoablation compared to results of a randomized trial of epidural vs patient-controlled analgesia.,2020,10.1016/j.jpedsurg.2019.09.021,7.77192361157922,11.4,"Analgesia, Epidural; Analgesia, Patient-Controlled; Cryosurgery; Funnel Chest; Humans; Length of Stay; Pain, Postoperative; Prospective Studies"
32166917,Thoracoscopic cryoanalgesia: A new strategy for postoperative pain control in minimally invasive pectus excavatum repair.,2020,,3.0896554637568516,4.6,"Adolescent; Analgesics, Opioid; Child; Cryosurgery; Female; Funnel Chest; Humans; Intercostal Nerves; Length of Stay; Male; Minimally Invasive Surgical Procedures; Pain Measurement; Pain, Postoperative; Retrospective Studies; Thoracoscopy; Treatment Outcome; Young Adult"
32929487,Intercostal nerve cryoablation versus thoracic epidural for postoperative analgesia following pectus excavatum repair: a systematic review and meta-analysis.,2020,10.1093/icvts/ivaa151,3.6328716949733684,6.0,"Analgesia, Epidural; Cryosurgery; Funnel Chest; Humans; Intercostal Nerves; Length of Stay; Operative Time; Pain, Postoperative; Retrospective Studies"
33112997,Use of cryoanalgesia as a postoperative pain management for open pectus carinatum repair.,2021,10.1007/s00383-020-04768-z,1.020914311012648,1.5,"Adolescent; Analgesia; Body Temperature; Cryotherapy; Female; Follow-Up Studies; Humans; Length of Stay; Male; Pain Management; Pain, Postoperative; Pectus Carinatum; Retrospective Studies; Skin Temperature; Treatment Outcome"
33199059,Intercostal nerve cryoablation is associated with lower hospital cost during minimally invasive Nuss procedure for pectus excavatum.,2021,10.1016/j.jpedsurg.2020.10.009,6.3781845765041245,10.5,"Child; Cryosurgery; Funnel Chest; Hospital Costs; Humans; Intercostal Nerves; Minimally Invasive Surgical Procedures; Pain, Postoperative; Retrospective Studies; Treatment Outcome"
33585365,A New Device for Thoracoscopic Cryoanalgesia in Pectus Excavatum Repair: Preliminary Single Center Experience.,2021,10.3389/fped.2020.614097,2.208449772765899,3.25,
33853733,Cryoanalgesia enhances recovery from minimally invasive repair of pectus excavatum resulting in reduced length of stay: A case-matched analysis of NSQIP-Pediatric patients.,2021,10.1016/j.jpedsurg.2021.03.017,4.366988966670212,7.0,Child; Cohort Studies; Funnel Chest; Humans; Length of Stay; Minimally Invasive Surgical Procedures; Postoperative Complications; Retrospective Studies
34814047,Cryoanalgesia is Associated With Decreased Postoperative Opioid Use in Minimally Invasive Repair of Pectus Excavatum.,2022,10.1016/j.jss.2021.10.011,4.021830359315449,5.666666666666667,"Analgesics, Opioid; Child; Funnel Chest; Humans; Minimally Invasive Surgical Procedures; Pain, Postoperative; Retrospective Studies"
34912765,Cryoanalgesia and Lung Isolation: A New Challenge for the Nuss Procedure Made Easier With the EZ-Blocker™.,2021,10.3389/fped.2021.791607,0.6576885309314119,1.0,
35290267,Impact of Cryoablation on Pectus Excavatum Repair in Pediatric Patients.,2022,10.1097/XCS.0000000000000103,3.0004028710587476,4.666666666666667,"Adolescent; Analgesics, Opioid; Child; Cryosurgery; Funnel Chest; Humans; Minimally Invasive Surgical Procedures; Pain, Postoperative; Postoperative Complications; Retrospective Studies"
35379492,Cryoablation is associated with shorter length-of-stay and reduced opioid use after the Ravitch procedure.,2022,10.1016/j.jpedsurg.2022.02.040,2.0528050205961463,2.6666666666666665,"Analgesics, Opioid; Cryosurgery; Funnel Chest; Humans; Intercostal Nerves; Length of Stay; Pain, Postoperative; Retrospective Studies"
35797475,Multicenter Assessment of Cryoanalgesia Use in Minimally Invasive Repair of Pectus Excavatum: A 20-center Retrospective Cohort Study.,2023,10.1097/SLA.0000000000005440,4.077115527970051,5.0,"Child; Humans; Adolescent; Analgesics, Opioid; Retrospective Studies; Funnel Chest; Pain, Postoperative; Morphine; Opioid-Related Disorders; Minimally Invasive Surgical Procedures"
36646539,Cost and outcomes of intercostal nerve cryoablation versus thoracic epidural following the Nuss procedure.,2023,10.1016/j.jpedsurg.2022.12.011,6.610431679719932,6.5,"Humans; Retrospective Studies; Analgesics, Opioid; Funnel Chest; Intercostal Nerves; Cryosurgery; Pain, Postoperative; Thoracic Wall; Minimally Invasive Surgical Procedures"
36922280,Impact of Cryoanalgesia Use During Minimally Invasive Pectus Excavatum Repair on Hospital Days and Total Hospital Costs Among Pediatric Patients.,2023,10.1016/j.jpedsurg.2023.02.036,1.6973739622084896,1.5,Humans; Child; Funnel Chest; Bayes Theorem; Hospital Costs; Prospective Studies; Minimally Invasive Surgical Procedures; Postoperative Complications; Retrospective Studies; Hospitals
37364610,"A Randomized Controlled Trial of Cryoanalgesia for Pain Management following Pectus Excavatum Repair: A Single-Center, Single-Blind, Parallel Design Study.",2024,10.1055/a-2117-4628,2.636837778369995,5.0,"Humans; Funnel Chest; Single-Blind Method; Pain, Postoperative; Male; Female; Adolescent; Cryosurgery; Pain Measurement; Child; Pain Management; Treatment Outcome; Cryotherapy"
37693640,Intercostal nerve cryoablation therapy for the repair of pectus excavatum: a systematic review.,2023,10.3389/fsurg.2023.1235120,6.876356806719713,6.5,
37973418,Lessons Learned after 176 Patients Treated with a Standardized Procedure of Thoracoscopic Cryoanalgesia during Minimally Invasive Repair of Pectus Excavatum.,2024,10.1016/j.jpedsurg.2023.10.047,4.0217338171391575,8.0,"Humans; Retrospective Studies; Analgesics, Opioid; Funnel Chest; Pain, Postoperative; Cryotherapy; Minimally Invasive Surgical Procedures"
