sr_pmid,primary_pmid,sr_title,primary_title,cosine,cocit_count,cocit_j,bc_count,bc_j,age_abs_years,sr_comm,primary_comm
33629128,11682427,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,A carbohydrate-rich drink reduces preoperative discomfort in elective surgery patients.,0.856927,6,0.016575,0,0.0,20,0,10
33629128,12631049,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",0.999924,3,0.01676,0,0.0,18,0,11
33629128,14760661,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,Randomized clinical trial comparing an oral carbohydrate beverage with placebo before laparoscopic cholecystectomy.,0.94353,3,0.02521,1,0.012195,17,0,12
33629128,15681099,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,0.8609,3,0.014493,1,0.012195,16,0,1
33629128,15739210,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,Randomized clinical trial of the effects of oral preoperative carbohydrates on postoperative nausea and vomiting after laparoscopic cholecystectomy.,0.943538,6,0.029126,2,0.024096,16,0,14
33629128,16387895,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,"A carbohydrate-rich beverage prior to surgery prevents surgery-induced immunodepression: a randomized, controlled, clinical trial.",0.856594,0,0.0,1,0.010989,15,0,15
33629128,16919107,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,0.887188,3,0.012346,0,0.0,15,0,16
33629128,17056939,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,Preoperative oral carbohydrate administration to ASA III-IV patients undergoing elective cardiac surgery.,0.887188,4,0.029851,3,0.033333,15,0,17
33629128,17454835,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,Insulin resistance after cardiopulmonary bypass in the elderly patient.,0.876064,1,0.015625,1,0.010989,14,0,18
33629128,18096368,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,"Effects of preoperative carbohydrate loading on glucose metabolism and gastric contents in patients undergoing moderate surgery: a randomized, controlled trial.",0.999921,1,0.009009,2,0.026316,13,0,2
33629128,18477073,Effects of preoperative oral carbohydrate on postoperative discomfort in patients undergoing elective surgery: a meta-analysis of randomized controlled trials.,Pre-operative oral carbohydrate treatment before coronary artery bypass surgery.,0.887188,2,0.027778,4,0.054054,13,0,19
