sr_pmid,primary_pmid,sr_title,primary_title,year_sr,year_primary,weight
14584013,12631049,Preoperative fasting for adults to prevent perioperative complications.,"Effects of preoperative oral carbohydrates and peptides on postoperative endocrine response, mobilization, nutrition and muscle function in abdominal surgery.",2003,2003.0,1.033951
18254064,16919107,Systemic prokinetic pharmacologic treatment for postoperative adynamic ileus following abdominal surgery in adults.,Pre-operative oral carbohydrate loading in colorectal surgery: a randomized controlled trial.,2008,2006.0,1.0059
18515968,16830214,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative enteral immunonutrition improves postoperative outcome in patients with gastrointestinal cancer.,2008,2006.0,1.028481
18515968,17632760,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative immunonutrition suppresses perioperative inflammatory response in patients with major abdominal surgery-a randomized controlled pilot study.,2008,2007.0,1.026515
18515968,9834924,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Immunonutrition in gastric cancer surgical patients.,2008,1998.0,1.02551
18515968,12055582,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,A randomized controlled trial of preoperative oral supplementation with a specialized diet in patients with gastrointestinal cancer.,2008,2002.0,1.024854
18515968,15681102,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Effect of early postoperative enteral immunonutrition on wound healing in patients undergoing surgery for gastric cancer.,2008,2005.0,1.022599
18515968,12464864,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative oral arginine and n-3 fatty acid supplementation improves the immunometabolic host response and outcome after colorectal resection for cancer.,2008,2002.0,1.020968
18515968,10449977,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Complications of pancreatic surgery and the role of perioperative nutrition.,2008,1999.0,1.020408
18515968,10593328,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Outcome and cost-effectiveness of perioperative enteral immunonutrition in patients undergoing elective upper gastrointestinal tract surgery: a prospective randomized study.,2008,1999.0,1.018145
18515968,8875537,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"Clinical outcome and immunology of postoperative arginine, omega-3 fatty acids, and nucleotide-enriched enteral feeding: a randomized prospective comparison with standard enteral and low calorie/low fat i.v. solutions.",2008,1996.0,1.015625
18515968,10199318,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Perioperative immunonutrition in patients undergoing cancer surgery: results of a randomized double-blind phase 3 trial.,2008,1999.0,1.015101
18515968,11075988,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Artificial nutrition after pancreaticoduodenectomy.,2008,2000.0,1.014286
18515968,9295822,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early postoperative enteral immunonutrition: clinical outcome and cost-comparison analysis in surgical patients.,2008,1997.0,1.013636
18515968,11822956,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Nutritional approach in malnourished surgical patients: a prospective randomized study.,2008,2002.0,1.013314
18515968,16777271,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"Early postoperative jejunostomy feeding with an immune modulating diet in patients undergoing resectional surgery for upper gastrointestinal cancer: a prospective, randomized, controlled, double-blind study.",2008,2006.0,1.012931
18515968,9366716,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Effect of route of delivery and formulation of postoperative nutritional support in patients undergoing major operations for malignant neoplasms.,2008,1997.0,1.012887
18515968,10978851,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Oral dietary supplements in pre- and postoperative surgical patients: a prospective and randomized clinical trial.,2008,2000.0,1.012195
18515968,16421661,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative oral immune-enhancing nutritional supplementation corrects TH1/TH2 imbalance in patients undergoing elective surgery for colorectal cancer.,2008,2006.0,1.011364
18515968,15925286,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Influence of preoperative administration of omega-3 fatty acid-enriched supplement on inflammatory and immune responses in patients undergoing major surgery for cancer.,2008,2005.0,1.010101
18515968,15286958,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Randomized clinical trial of the effects of preoperative and postoperative oral nutritional supplements on clinical course and cost of care.,2008,2004.0,1.00995
18515968,11819790,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Modulation of postoperative immune and inflammatory response by immune-enhancing enteral diet in gastrointestinal cancer patients.,2008,2001.0,1.009434
18515968,7726669,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Enteral nutrition during multimodality therapy in upper gastrointestinal cancer patients.,2008,1995.0,1.008681
18515968,1377838,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"Enteral nutrition with supplemental arginine, RNA, and omega-3 fatty acids in patients after operation: immunologic, metabolic, and clinical outcome.",2008,1992.0,1.006356
18515968,10574478,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"A prospective, randomized clinical trial on perioperative feeding with an arginine-, omega-3 fatty acid-, and RNA-enriched enteral diet: effect on host response and nutritional status.",2008,1999.0,1.005882
18515968,9324147,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early postoperative enteral feeding improves whole body protein kinetics in upper gastrointestinal cancer patients.,2008,1997.0,1.005435
18515968,9428539,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Artificial nutrition after major abdominal surgery: impact of route of administration and composition of the diet.,2008,1998.0,1.005181
18515968,9038665,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Influence of postoperative enteral nutrition on postsurgical infections.,2008,1996.0,1.004464
18515968,14585408,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Benefits of early feeding and early hospital discharge in elderly patients undergoing open colon resection.,2008,2003.0,1.004348
18515968,10487587,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Factors affecting early postoperative feeding following elective open colon resection.,2008,1999.0,1.004132
18515968,10205319,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Preoperative oral carbohydrate administration reduces postoperative insulin resistance.,2008,1998.0,1.003891
18515968,8604913,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Early enteral feeding in postsurgical cancer patients. Fish oil structured lipid-based polymeric formula versus a standard polymeric formula.,2008,1996.0,1.003145
18515968,9135531,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Two phase randomised controlled clinical trial of postoperative oral dietary supplements in surgical patients.,2008,1997.0,1.002825
18515968,8639722,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Immune and nutritional effects of early enteral nutrition after major abdominal operations.,2008,1996.0,1.002632
18515968,11682427,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,A carbohydrate-rich drink reduces preoperative discomfort in elective surgery patients.,2008,2001.0,1.002625
18515968,15681099,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,2008,2005.0,1.002232
18515968,1910100,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"Effects of immediate postoperative enteral nutrition on body composition, muscle function, and wound healing.",2008,1991.0,1.002203
18515968,9351723,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,"A prospective, randomized trial of early enteral feeding after resection of upper gastrointestinal malignancy.",2008,1997.0,1.001706
18515968,8798225,Perioperative nutrition in elective gastrointestinal surgery--potential for improvement?,Enteral feeding in esophageal surgery.,2008,1996.0,1.0
